Player,School,Position,recruiting_rating,recruiting_stars,recruiting_rank,source,match_found
Arch Manning,Texas,QB,0.9995,5.0,1.0,cfbd_2023,True
Jeremiah Smith,Ohio State,WR,0.9997,5.0,1.0,cfbd_2024,True
Sam Leavitt,LSU,QB,0.9026,4.0,311.0,cfbd_2023,True
Brendan Sorsby,Texas Tech,QB,0.8596,3.0,1012.0,cfbd_2022,True
Dante Moore,Texas,QB,0.998,5.0,4.0,cfbd_2023,True
Bryce Underwood,Michigan,QB,0.9998,5.0,1.0,cfbd_2025,True
Cam Coleman,Auburn,WR,0.9985,5.0,3.0,cfbd_2024,True
LaNorris Sellers,South Carolina,QB,0.9127,4.0,256.0,cfbd_2023,True
Dylan Stewart,South Carolina,EDGE,0.9939,5.0,15.0,cfbd_2024,True
Drew Mestemaker,Oklahoma State,QB,,,,not_found,False
Mason Heintschel,Pittsburgh,QB,0.8772,3.0,715.0,cfbd_2025,True
Julian Sayin,Ohio State,QB,0.9966,5.0,6.0,cfbd_2024,True
John Mateer,Washington State,QB,0.8267,3.0,1766.0,cfbd_2022,True
Darian Mensah,Miami,QB,0.7933,2.0,2289.0,cfbd_2023,True
Josh Hoover,TCU,QB,0.873,3.0,709.0,cfbd_2022,True
Jaron-Keawe Sagapolutele,Oregon,QB,0.9662,4.0,67.0,cfbd_2025,True
CJ Bailey,NC State,QB,0.8933,4.0,432.0,cfbd_2024,True
Malik Washington,Maryland,QB,0.9503,4.0,99.0,cfbd_2025,True
David Stone,Oklahoma,DL,0.9952,5.0,9.0,cfbd_2024,True
Jackson Cantwell,Missouri,OT,,,,not_found,False
DJ Lagway,Florida,QB,0.9964,5.0,7.0,cfbd_2024,True
Sawyer Robertson,Baylor,QB,0.9392,4.0,134.0,cfbd_2021,True
Jordan Seaton,Colorado,OT,0.9934,5.0,17.0,cfbd_2024,True
Jared Curtis,Vanderbilt,QB,,,,not_found,False
Ryan Coleman-Williams,Alabama,WR,,,,not_found,False
Trinidad Chambliss,Memphis,QB,,,,not_found,False
Byrum Brown,USF,QB,0.853,3.0,1178.0,cfbd_2022,True
Colin Simmons,Texas,EDGE,0.9932,5.0,18.0,cfbd_2024,True
CJ Carr,Notre Dame,QB,0.9685,4.0,68.0,cfbd_2024,True
Conner Weigman,Texas A&M,QB,0.9899,5.0,22.0,cfbd_2022,True
Evan Stewart,Oregon,WR,0.994,5.0,11.0,cfbd_2022,True
Cutter Boley,Kentucky,QB,0.9014,4.0,344.0,cfbd_2024,True
Noah Fifita,Arizona,QB,0.8737,3.0,690.0,cfbd_2022,True
Princewill Umanmielen,LSU,EDGE,0.9105,4.0,268.0,cfbd_2023,True
Gunner Stockton,Georgia,QB,0.9506,4.0,124.0,cfbd_2022,True
Avery Johnson,Kansas State,QB,0.9502,4.0,104.0,cfbd_2023,True
Beau Pribula,Penn State,QB,0.8859,3.0,464.0,cfbd_2022,True
Ryan Wingo,Texas,WR,0.9819,4.0,39.0,cfbd_2024,True
Malachi Toney,Miami,WR,0.8993,4.0,358.0,cfbd_2025,True
Dylan Raiola,Nebraska,QB,0.9926,5.0,21.0,cfbd_2024,True
Howard Sampson,Texas,OT,0.8167,3.0,1923.0,cfbd_2022,True
Clev Lubin,Army,EDGE,0.7844,2.0,2613.0,cfbd_2021,True
Mark Bowman,Mater Dei,TE,,,,not_found,False
Elijah Brown,Stanford,QB,0.9133,4.0,247.0,cfbd_2024,True
Boubacar Traore,Notre Dame,EDGE,0.9174,4.0,227.0,cfbd_2023,True
Caleb Downs,Ohio State,S,0.9953,5.0,7.0,cfbd_2023,True
Quinshon Judkins,Ohio State,RB,0.8804,3.0,562.0,cfbd_2022,True
Gideon Ituka,Wisconsin,RB,0.8647,3.0,1080.0,cfbd_2024,True
William Echoles,Ole Miss,DL,0.9397,4.0,135.0,cfbd_2024,True
Charlie Becker,Utah,WR,0.8681,3.0,969.0,cfbd_2024,True
TreyDez Green,LSU,TE,,,,not_found,False
Raheim Sanders,South Carolina,RB,0.9069,4.0,272.0,cfbd_2021,True
Malik Nabers,LSU,WR,0.9112,4.0,251.0,cfbd_2021,True
Jamari Johnson,Louisville,TE,0.8444,3.0,1854.0,cfbd_2025,True
Kool-Aid McKinstry,Alabama,CB,0.9906,5.0,18.0,cfbd_2021,True
Zach Lutmer,Iowa,CB,0.8564,3.0,1225.0,cfbd_2023,True
Terrance Carter,Baylor,TE,,,,not_found,False
Devin Sanchez,Ohio State,CB,0.9965,5.0,8.0,cfbd_2025,True
DJ Pickett,LSU,CB,0.9943,5.0,11.0,cfbd_2025,True
Naeem Offord,Ohio State,CB,,,,not_found,False
Dorian Brew,Oregon,CB,0.9674,4.0,64.0,cfbd_2025,True
Dijon Lee,Alabama,CB,,,,not_found,False
Luke Montgomery,Ohio State,OT,0.9542,4.0,92.0,cfbd_2023,True
Kadyn Proctor,Alabama,OT,0.9939,5.0,10.0,cfbd_2023,True
Tate Ratledge,Georgia,IOL,0.9821,4.0,38.0,cfbd_2020,True
Donovan Jackson,Ohio State,IOL,0.99,5.0,19.0,cfbd_2021,True
Bear Alexander,USC,DL,0.9782,4.0,50.0,cfbd_2022,True
Walter Nolen,Ole Miss,DL,0.9997,5.0,2.0,cfbd_2022,True
Travis Hunter,Colorado,CB,0.9999,5.0,1.0,cfbd_2022,True
Monshun Sales,Indiana,WR,,,,not_found,False
Donald Tabron,Michigan,QB,,,,not_found,False
Albert Simien,LSU,IOL,,,,not_found,False
Kennedy Brown,Houston,IOL,,,,not_found,False
Jaiden Bryant,Miami,EDGE,,,,not_found,False
Boobie Feaster,Southern California,WR,,,,not_found,False
Gunner Rivers,Alabama,QB,,,,not_found,False
Kaden Henderson,Florida,LB,,,,not_found,False
Xavier Sabb,Georgia,WR,,,,not_found,False
Ian Premer,Kansas,TE,,,,not_found,False
Tradon Bessinger,Utah,QB,,,,not_found,False
Jake Hildebrand,Arizona,OT,,,,not_found,False
Anthony Sweeney,Auburn,S,,,,not_found,False
Nyck Harbor,South Carolina,WR,0.9865,5.0,20.0,cfbd_2023,True
Eugene Wilson,Florida,WR,,,,not_found,False
Zachariah Branch,USC,WR,0.95,4.0,,transfer_portal,True
Johntay Cook,Texas,WR,,,,not_found,False
Carnell Tate,Ohio State,WR,0.9699,4.0,58.0,cfbd_2023,True
Makai Lemon,USC,WR,0.9773,4.0,42.0,cfbd_2023,True
Sundiata Anderson,Grambling,EDGE,,,,not_found,False
Chamon Metayer,Colorado,TE,0.8933,4.0,367.0,cfbd_2021,True
Jerrin Thompson,Auburn,S,0.9256,4.0,184.0,cfbd_2020,True
Woody Marks,USC,RB,0.9369,4.0,138.0,cfbd_2020,True
Trevor Etienne,Georgia,RB,0.9261,4.0,190.0,cfbd_2022,True
Ollie Gordon,Oklahoma State,RB,,,,not_found,False
Tahj Brooks,Texas Tech,RB,0.873,3.0,624.0,cfbd_2020,True
RJ Harvey,UCF,RB,,,,not_found,False
Marcus Carroll,Missouri,RB,0.8248,3.0,2038.0,cfbd_2020,True
Jordan James,Oregon,RB,0.9224,4.0,196.0,cfbd_2022,True
Jaydon Blue,Texas,RB,0.9226,4.0,195.0,cfbd_2022,True
Damari Alston,Auburn,RB,0.8995,4.0,328.0,cfbd_2022,True
LeQuint Allen,Syracuse,RB,0.8639,3.0,911.0,cfbd_2022,True
Kyle Monangai,Rutgers,RB,0.8267,3.0,1965.0,cfbd_2020,True
Bhayshul Tuten,Virginia Tech,RB,,,,not_found,False
Kaleb Johnson,Iowa,RB,0.8889,3.0,435.0,cfbd_2022,True
DJ Giddens,Kansas State,RB,,,,not_found,False
Jayden Harris,Texas,RB,,,,not_found,False
